"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu[137]",-6.0397654393615,0.30029743358227,-6.64946696045014,-6.24245002317665,-6.03981420187334,-5.83732765774659,-5.4600950143959,1.00053683037484,3000
"mu[138]",-6.08776191039395,0.927375760462956,-7.8730805630808,-6.70299183529411,-6.10009617491949,-5.45335226306223,-4.29817323387908,1.00256923764601,970
"mu[139]",-4.98599170751081,0.920149022966747,-6.80251374494687,-5.59848138278836,-4.99434418141573,-4.35804833239512,-3.19328856591,1.00292106602332,830
"mu[140]",-5.71572485474274,0.923743896961352,-7.54260085442539,-6.3314894413317,-5.72185348547575,-5.07986678973978,-3.90138475894293,1.00298703230293,810
"mu[141]",-5.05268922502145,0.132135829584256,-5.31534327092696,-5.14433518639351,-5.05296542278226,-4.96368221573892,-4.79487465112902,1.0022632183314,1100
"mu[142]",-4.42844890617936,0.116536351686654,-4.65911476302402,-4.50812100519158,-4.42684780013966,-4.35096170355084,-4.20238185116428,1.00059916240711,3000
"mu[143]",-3.86886947322354,0.10947766378279,-4.08935995249547,-3.94064785071108,-3.86744971372743,-3.79234292845991,-3.66100855389693,1.00098311477221,3000
"mu[144]",-3.5386684978551,0.108023657377778,-3.75178622806448,-3.61011917715195,-3.53803062165319,-3.46465330793772,-3.32752970557909,1.00072732590825,3000
"mu[145]",-3.48406384825783,0.105581247993401,-3.6877328170637,-3.55315226760877,-3.48218582282689,-3.4140076512402,-3.27976022959466,1.00082490785141,3000
"mu[146]",-3.46906257882224,0.107434713514427,-3.67615928904133,-3.54345283175966,-3.46871123964307,-3.39761603365528,-3.25761890795162,1.00070500238337,3000
"mu[147]",-3.77618216625808,0.110110016753361,-3.99377987307475,-3.85057878619656,-3.7732414719431,-3.70070914210907,-3.56597828765285,1.00090846783055,3000
"mu[148]",-3.91813219300648,0.113191304161949,-4.14099445090048,-3.99431291815373,-3.91714940613307,-3.8404676183709,-3.69558528090426,1.00071629150123,3000
"mu[149]",-4.08675418761504,0.117078291214834,-4.31353295716212,-4.16872582801153,-4.0882412844185,-4.00325308182788,-3.86119579427382,1.00051147640662,3000
"mu[150]",-5.06172503623634,0.127872531452129,-5.31006773480977,-5.15092733900413,-5.06472989227599,-4.97568524644207,-4.81107815933358,1.00148530925055,2000
"mu[151]",-4.25230865178222,0.113108163264251,-4.47413938821581,-4.32822490695623,-4.25297076950133,-4.17693245895122,-4.03442797915329,1.00080791604141,3000
"mu[152]",-3.67515500225632,0.104663509785948,-3.88007673643343,-3.74654535046812,-3.67211405909685,-3.6034173229827,-3.47909167422936,1.00056044606497,3000
"mu[153]",-3.41623326290626,0.103683839697672,-3.61694839814026,-3.48687565120482,-3.41598876364323,-3.3456001798513,-3.21454352553931,1.00063306801855,3000
"mu[154]",-3.42274839669704,0.105168986925224,-3.624002698043,-3.49485870779564,-3.42304157049146,-3.34974515256841,-3.21936673276163,1.00068337073009,3000
"mu[155]",-3.54443011089514,0.106381202012211,-3.75202558431943,-3.61663912021077,-3.54083114031859,-3.47311173937776,-3.34325727745734,1.00056293644457,3000
"mu[156]",-3.91617662846733,0.106898685912909,-4.13049073349438,-3.98854242732923,-3.91610470491188,-3.84501612544143,-3.70488707151886,1.00049958236191,3000
"mu[157]",-4.41867733019215,0.113765673027194,-4.64315959917263,-4.49352116257959,-4.4198954352204,-4.34296383438714,-4.19101215031957,1.00063104427477,3000
"mu[158]",-4.60455228545199,0.120753621863458,-4.84460598196921,-4.68730380828395,-4.60598660557392,-4.52379163697258,-4.36319104940541,1.0008709782944,3000
"mu[159]",-5.53147731888941,0.13058712745222,-5.78654359591041,-5.62072335314048,-5.53169852493626,-5.44275209239504,-5.27546542773938,1.00151691015073,2000
"mu[160]",-4.81122586718751,0.113145042416242,-5.03473227486054,-4.88753367511945,-4.81165432756864,-4.73651498881909,-4.59092398398927,1.00054124414684,3000
"mu[161]",-3.99975977295732,0.105751076889422,-4.2069243431223,-4.06968349832344,-3.99781380528956,-3.92865102954321,-3.80008853932867,1.00074933911989,3000
"mu[162]",-3.78156454397624,0.103042893113124,-3.98416865581825,-3.8510568036341,-3.78053697661885,-3.71279974039359,-3.5804358679635,1.00055888166757,3000
"mu[163]",-3.91703457969699,0.105272870665042,-4.12174690656973,-3.98762876650043,-3.91750378427133,-3.84771169053652,-3.71024079952231,1.00053584463298,3000
"mu[164]",-3.91417471220377,0.104681707641015,-4.11581767212841,-3.98824103689802,-3.91393647431957,-3.84336805110616,-3.70737535695418,1.00080387494817,3000
"mu[165]",-4.19667370174044,0.106259513022448,-4.40822689832744,-4.26933720568572,-4.19308526856658,-4.12176257540761,-3.99291829826801,1.00088620699016,3000
"mu[166]",-4.59279291217052,0.108322761486809,-4.80464978777702,-4.66455996907876,-4.59149997574863,-4.52015922011607,-4.3790341808438,1.0005626180782,3000
"mu[167]",-4.81490638581973,0.115534185718859,-5.03941684808031,-4.89385456144293,-4.81571748335831,-4.73661968574207,-4.58907416263862,1.00057224488484,3000
"mu[168]",-5.51842116782881,0.159330504456696,-5.82475171465593,-5.63059079476649,-5.51729040422936,-5.40836882906235,-5.20792846356332,1.00110681002529,3000
"mu[169]",-4.83630430934931,0.144925647513726,-5.12076376493888,-4.93529803200154,-4.83749218789368,-4.74121407507471,-4.55702092978586,1.00113436094751,3000
"mu[170]",-3.96434890369448,0.135951130900771,-4.22200059106585,-4.05787687634781,-3.96614020085679,-3.87307974984614,-3.69786199904291,1.00074425841749,3000
"mu[171]",-3.62864701594149,0.134354998475965,-3.88114360504533,-3.72157874157373,-3.63287029169709,-3.53670606128183,-3.35472264705267,1.00124411276613,3000
"mu[172]",-3.76192508752701,0.134836802127713,-4.01333366685802,-3.85617896705905,-3.76324742886862,-3.669315974505,-3.49012612775221,1.00081528394219,3000
"mu[173]",-3.96752835111117,0.136676939191298,-4.22706394479667,-4.06338568790728,-3.96772605543568,-3.87349559959963,-3.70120262989821,1.00116753116905,3000
"mu[174]",-4.48278156808314,0.141307211254974,-4.75712668012571,-4.57762216098044,-4.48524470506771,-4.38975735375413,-4.20260391175678,1.00092292596526,3000
"mu[175]",-4.98683667885884,0.1504133356615,-5.2747491687145,-5.08942138473209,-4.98528590717215,-4.88450943807499,-4.697104033544,1.0008184676784,3000
"mu[176]",-5.18524776467196,0.157951222038933,-5.4907528057301,-5.2901223360762,-5.18476234381972,-5.07715299882252,-4.88044293380021,1.00111497602556,3000
"mu[177]",-5.84414674627067,0.446427631211431,-6.75906707635254,-6.14321988417952,-5.84598682661447,-5.54541132232018,-4.98660442790952,1.00075073098099,3000
"mu[178]",-5.68650593364379,0.441457900863656,-6.58049002537126,-5.98255495931486,-5.68948057231393,-5.39201993550438,-4.83850857050975,1.00086432396409,3000
"mu[179]",-5.51041657471373,0.439981250658234,-6.39013970499666,-5.80799389390145,-5.51198323026847,-5.20985811830503,-4.67283819905011,1.00078987519198,3000
